model,opponent,debates,groups,topics,opponents,self_margin,self_margin_lo,self_margin_hi,panel_self_margin,panel_self_margin_lo,panel_self_margin_hi,self_panel_shift,self_panel_shift_lo,self_panel_shift_hi,order_a_advantage,order_a_advantage_lo,order_a_advantage_hi,order_margin_range,order_margin_range_lo,order_margin_range_hi,self_win,self_win_lo,self_win_hi,self_tie,self_tie_lo,self_tie_hi,opponent_win,opponent_win_lo,opponent_win_hi,panel_win,panel_win_lo,panel_win_hi,panel_agreement,panel_agreement_lo,panel_agreement_hi,order_decisive_flip,order_decisive_flip_lo,order_decisive_flip_hi,order_outcome_changed,order_outcome_changed_lo,order_outcome_changed_hi,loss_ack,loss_ack_lo,loss_ack_hi,robust_loss_ack,robust_loss_ack_lo,robust_loss_ack_hi,self_win_count,self_tie_count,opponent_win_count,panel_loss_count,panel_agreement_count,both_orders_opponent_win_count,order_decisive_flip_count,order_outcome_changed_count,loss_ack_count,robust_loss_ack_count,equal_opponent_self_panel_shift,pro_self_margin,con_self_margin
claude-fable-5-1-high,claude-opus-5-high,30,15,15,1,0.5066666666666666,0.29662499999999997,0.7350416666666665,0.38222222222222224,0.041083333333333305,0.6900277777777776,0.12444444444444441,-0.1866805555555555,0.4944583333333332,-0.15333333333333332,-0.2933333333333333,-0.010000000000000016,0.52,0.30999999999999994,0.7533333333333333,0.6333333333333333,0.5333333333333333,0.7666666666666667,0.16666666666666666,0.06666666666666667,0.3,0.2,0.06666666666666667,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.6,0.6666666666666666,0.5,0.8,0.16666666666666666,0.06666666666666667,0.3,0.16666666666666666,0.06666666666666667,0.3,0.5714285714285714,0.2,1.0,0.5714285714285714,0.2,1.0,19,5,6,7,20,6,5,5,4,4,0.12444444444444441,0.9799999999999998,0.03333333333333335
claude-fable-5-1-high,claude-sonnet-5-high,8,4,4,1,1.825,1.4874999999999998,2.0125,1.5708333333333333,1.1916666666666667,1.8088541666666638,0.25416666666666665,0.1914583333333334,0.31666666666666654,-0.025000000000000022,-0.08750000000000005,0.024999999999999967,0.22500000000000003,0.15000000000000002,0.30000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.625,1.0,0.875,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8,0,0,0,7,0,0,0,0,0,0.25416666666666665,2.0,1.6500000000000001
claude-fable-5-1-high,glm-5-3-high,14,7,7,1,1.0392857142857141,0.35,1.528749999999999,1.2142857142857142,0.9000000000000001,1.504761904761905,-0.17500000000000002,-0.7714285714285715,0.20479166666666648,-0.14642857142857144,-0.3285714285714286,0.007142857142857133,0.42142857142857143,0.21428571428571427,0.7000000000000001,0.7857142857142857,0.5,1.0,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,0.0,0.42857142857142855,0.9285714285714286,0.7857142857142857,1.0,0.7142857142857143,0.42857142857142855,1.0,0.07142857142857142,0.0,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,,,,,,,11,1,2,0,10,2,1,1,0,0,-0.17500000000000004,1.1,0.9785714285714285
claude-fable-5-1-high,gpt-6-astra-high,16,8,8,1,0.93125,0.5811718749999999,1.3063281249999994,1.1749999999999998,0.8291666666666666,1.5041666666666667,-0.24375000000000002,-0.7375520833333333,0.22088541666666642,-0.11875000000000002,-0.2875,0.021953124999999584,0.38749999999999996,0.11875000000000001,0.6812499999999999,0.6875,0.5625,0.875,0.125,0.0,0.25,0.1875,0.0625,0.375,0.875,0.75,1.0,0.75,0.5625,0.9375,0.125,0.0,0.25,0.125,0.0,0.25,0.0,,,0.0,,,11,2,3,1,12,3,2,2,0,0,-0.24375000000000002,1.4812499999999997,0.38125
claude-fable-5-1-high,grok-4.6-high,22,11,11,1,1.2545454545454549,0.9544886363636365,1.500056818181818,1.1242424242424243,0.8862878787878787,1.3318181818181818,0.13030303030303025,-0.23270833333333327,0.5242803030303027,-0.05000000000000002,-0.09318181818181817,-0.009090909090909087,0.23636363636363633,0.1727272727272727,0.29545454545454547,0.9090909090909091,0.7727272727272727,1.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.22727272727272727,0.8181818181818182,0.6818181818181818,0.9545454545454546,0.7727272727272727,0.6363636363636364,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,20,0,2,1,17,2,0,0,0,0,0.1303030303030303,1.2818181818181817,1.227272727272727
claude-fable-5-1-high,kimi-k3,26,13,13,1,0.6173076923076923,0.32682692307692307,0.9000480769230769,0.7038461538461539,0.4474038461538461,0.9371794871794871,-0.08653846153846154,-0.3801602564102564,0.22314102564102534,-0.14807692307692308,-0.28461538461538455,-0.03269230769230769,0.3961538461538462,0.20000000000000004,0.6193269230769226,0.6923076923076923,0.5769230769230769,0.8076923076923077,0.07692307692307693,0.0,0.19230769230769232,0.23076923076923078,0.07692307692307693,0.38461538461538464,0.7307692307692307,0.5769230769230769,0.8461538461538461,0.8076923076923077,0.6153846153846154,0.9615384615384616,0.07692307692307693,0.0,0.19230769230769232,0.07692307692307693,0.0,0.19230769230769232,0.8,0.4,1.0,0.8,0.4,1.0,18,2,6,5,21,6,2,2,4,4,-0.08653846153846151,1.0076923076923079,0.22692307692307706
claude-fable-5-1-high,muse-spark-1.3-high,12,6,6,1,1.3583333333333334,1.0708333333333335,1.6500000000000004,1.1111111111111114,0.7277777777777777,1.488888888888889,0.24722222222222232,0.009618055555555609,0.45555555555555555,-0.18333333333333338,-0.379375,-0.037500000000000026,0.41666666666666674,0.17500000000000004,0.7833333333333335,0.9166666666666666,0.75,1.0,0.08333333333333333,0.0,0.25,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.9166666666666666,0.75,0.5833333333333334,0.9166666666666666,0.08333333333333333,0.0,0.25,0.08333333333333333,0.0,0.25,,,,,,,11,1,0,0,9,0,1,1,0,0,0.24722222222222226,1.5666666666666667,1.15
claude-opus-5-high,claude-fable-5-1-high,30,15,15,1,-0.21500000000000002,-0.39666666666666667,-0.04491666666666714,-0.3822222222222223,-0.6900277777777777,-0.04108333333333346,0.16722222222222224,-0.15334722222222227,0.45555555555555555,-0.325,-0.5,-0.15,0.7833333333333333,0.50325,1.0833333333333333,0.23333333333333334,0.1,0.36666666666666664,0.3333333333333333,0.16666666666666666,0.5,0.43333333333333335,0.3,0.5666666666666667,0.23333333333333334,0.1,0.4,0.6333333333333333,0.4666666666666667,0.8,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.6428571428571429,0.42857142857142855,0.8461538461538461,0.6428571428571429,0.42857142857142855,0.8461538461538461,7,10,13,14,19,13,10,10,9,9,0.1672222222222222,0.2333333333333333,-0.6633333333333334
claude-opus-5-high,claude-sonnet-5-high,16,8,8,1,1.5031250000000003,1.446796875,1.565625,1.5770833333333334,1.3395833333333333,1.7833333333333334,-0.07395833333333332,-0.3020833333333333,0.18234374999999978,-0.078125,-0.11585937500000001,-0.028125000000000004,0.18125,0.11249999999999999,0.2317187499999975,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.8125,1.0,0.9375,0.8125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,16,0,0,0,15,0,0,0,0,0,-0.07395833333333332,1.5125000000000002,1.49375
claude-opus-5-high,glm-5-3-high,10,5,5,1,1.06,0.5650000000000001,1.3650000000000002,0.67,0.3466666666666666,0.9467499999999998,0.39,0.16333333333333339,0.5766666666666665,-0.07999999999999999,-0.15999999999999998,-1.1102230246251566e-17,0.19999999999999998,0.10999999999999999,0.32999999999999996,0.9,0.7,1.0,0.0,0.0,0.0,0.1,0.0,0.3,0.8,0.6,1.0,0.9,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,9,0,1,1,9,1,0,0,1,1,0.39,0.7000000000000001,1.42
